dmodelsim dmodelsim1 dmodelsim2
0.2995269 0.09966709 2.169947
0.287153 0.09363364 2.177115
0.2753965 0.08797612 2.18382
0.3789516 0.1810545 2.190159
0.6887427 0.4216728 2.19614
0.637635 0.3014939 2.201494
0.4358119 0.1535672 2.206366
0.3827602 0.1707371 2.210898
0.3039425 0.1189013 2.215051
0.2556476 0.09976258 2.218908
0.2307051 0.09151972 2.222512
0.2163367 0.08565223 2.225857
0.205984 0.08043203 2.228951
0.2798988 0.1528929 2.231832
0.2417943 0.09686304 2.234472
0.2052315 0.07649143 2.236917
0.1843977 0.06912222 2.239174
0.1723333 0.06452208 2.24126
0.1638502 0.06056612 2.243188
0.1567402 0.05690026 2.244966
0.1502309 0.05346244 2.246604
0.1440755 0.05023308 2.248112
0.1400667 0.04911274 2.249504
0.133755 0.04498802 2.250786
0.1276999 0.04191124 2.251965
0.1222134 0.03931167 2.253049
0.3536133 0.2858778 2.254055
0.4192819 0.2820426 2.254973
0.2758407 0.118956 2.25581
0.1786825 0.07210635 2.25658
0.1349069 0.0605492 2.257288
0.1166648 0.05580109 2.257939
0.107924 0.05228181 2.258537
0.1023644 0.04910493 2.259086
0.1010382 0.04968915 2.259592
0.09581726 0.04453767 2.260057
0.09086888 0.04118033 2.260484
0.08668286 0.03856665 2.260876
1.905684 2.043874 2.489279
2.126297 1.618069 2.313848
1.169023 0.5917745 2.200524
0.5618374 0.3128391 2.20487
0.3068796 0.2517637 2.209913
2.350466 2.36747 2.641381
2.441579 1.784245 2.306878
1.365675 0.7655628 2.116944
3.15686 2.725786 2.86282
2.405176 1.531099 2.025903
1.366972 0.852768 2.028298
0.8308133 0.6790807 2.04695
0.5387283 0.5564245 2.064268
0.4102174 0.503277 2.080295
0.3562098 0.4694749 2.095108
0.3299392 0.4406124 2.108793
0.4688683 0.5565676 2.121468
0.3987558 0.4366227 2.133111
0.438844 0.4822358 2.1439
1.060436 1.028426 2.28762
0.7952068 0.6005729 2.139115
0.5288141 0.4377034 2.147911
0.3757962 0.3691445 2.157448
0.3047516 0.3362986 2.166212
0.3745798 0.4090509 2.174314
4.085486 3.672329 3.491363
2.677988 1.410362 1.9753
1.33832 0.69201 1.983431
0.7101362 0.530284 2.00512
0.4720395 0.479705 2.025299
0.3994689 0.4602037 2.044081
0.3731935 0.4373757 2.061472
0.5526821 0.5862086 2.077689
0.5471962 0.5179406 2.092586
0.4244565 0.4017525 2.1063
1.952029 1.772959 2.568806
3.572047 2.709718 2.887868
2.414143 1.321347 1.944344
1.285527 0.7253572 1.95968
0.7375114 0.5719241 1.982872
0.52086 0.5181646 2.004465
0.4417722 0.4873139 2.024546
0.4018108 0.4542278 2.043202
0.4215686 0.4636076 2.060499
3.174679 2.740031 3.231361
3.676554 2.40044 2.537132
2.132641 1.071025 1.858721
2.75202 1.975548 2.557539
2.511718 1.629345 2.052512
1.700179 1.067955 1.829719
1.371638 1.015536 1.864965
10.38773 7.621964 8.390282
6.706835 2.932084 3.439514
3.349213 1.487625 3.125533
1.767465 1.147476 2.867507
1.14496 1.025216 2.652812
0.9224864 0.959737 2.472249
0.8211076 0.8937061 2.319009
0.7726033 0.8424376 2.188003
0.73873 0.7930626 2.075235
0.718847 0.7532972 1.977555
0.6925209 0.7082216 1.892505
12.17296 8.490058 11.00617
15.82247 8.019655 10.64811
16.47131 7.380736 13.25777
9.975915 3.667938 10.75321
6.366354 2.859856 9.195677
49.50155 16.96991 62.06675
32.90433 7.05317 28.24344
17.26563 3.949796 18.98423
20.71622 4.773596 17.33211
74.87994 11.06043 38.66461
47.06975 5.289939 22.7116
24.8623 4.009915 17.11126
13.09634 3.099842 13.02863
8.304766 2.760414 10.45677
6.501714 2.561859 8.714425
6.978944 2.854435 7.519512
155.0305 24.69833 113.8314
233.3329 32.43023 208.4129
148.6288 15.96205 74.20248
72.27616 7.828012 37.53886
36.09256 5.768321 24.5824
22.46344 5.219411 18.19638
17.76794 4.95618 14.47566
17.9349 5.722045 13.39486
19.8576 6.489532 13.80643
17.02214 4.777956 11.63206
14.79341 4.128806 10.08133
13.45757 3.786153 8.936618
12.64507 3.547907 8.060204
12.11237 3.373742 7.370971
11.60623 3.168527 6.814072
11.08133 2.951585 6.35264
99.59754 24.71816 76.25835
168.2878 35.16625 155.9827
128.7976 22.0383 83.08952
78.34826 13.41326 49.11678
46.87488 9.646298 33.05437
40.25827 10.73801 30.13343
39.38031 10.99871 27.77193
80.58793 26.87798 65.49028
54.4945 12.66286 34.45371
32.95141 8.143971 23.88455
32.78308 11.62107 23.68901
25.69005 8.231044 18.51546
30.16706 14.5698 19.49657
26.83399 12.18952 17.04741
26.73842 14.52461 16.62908
22.0466 9.812145 14.24203
23.83709 13.89484 14.04913
68.39262 63.98713 43.94143
88.00792 71.22148 59.22709
67.58507 43.23929 44.42056
107.073 97.2181 102.3194
71.32301 44.33373 47.61092
40.7932 24.53433 29.72851
