qoss qsim qoss1 qsim1 qoss2 qsim2
8.11 0.9494729 8.11 0.4488844 8.11 4.423854
7.53 0.9078613 7.53 0.4212097 7.53 4.128538
7.14 0.8693299 7.14 0.3956615 7.14 3.871737
7.36 0.8461079 7.36 0.3772027 7.36 3.648457
10.8 5.921718 10.8 2.467901 10.8 11.56256
17.6 9.220349 17.6 3.100861 17.6 14.92998
13.5 5.525277 13.5 1.271667 13.5 10.87321
10.8 2.857092 10.8 0.7290118 10.8 8.950788
9.3 1.681201 9.3 0.5990439 9.3 7.581954
8.98 1.239536 8.98 0.5497352 8.98 6.564841
7.95 1.071677 7.95 0.5147305 7.95 5.783705
7.55 0.9935058 7.55 0.4834097 7.55 5.167213
7.04 0.9431677 7.04 0.4541827 7.04 4.669823
6.73 0.9018118 6.73 0.4267458 6.73 4.260283
6.11 0.8640194 6.11 0.400969 6.11 3.918567
5.59 0.8282688 5.59 0.3767495 5.59 3.62989
5.25 0.794114 5.25 0.353993 5.25 3.383271
5.24 0.7613968 5.24 0.332611 5.24 3.170366
5.09 0.7300347 5.09 0.3125205 5.09 2.984278
5 0.6999661 5 0.2936436 5 2.820722
4.79 0.6711364 4.79 0.2759069 4.79 2.675842
4.52 0.6434942 4.52 0.2592415 4.52 2.546529
4.89 1.36292 4.89 0.6025663 4.89 2.433736
4.68 1.242584 4.68 0.4349239 4.68 2.333839
4.42 1.060495 4.42 0.3705353 4.42 2.245531
4.15 1.394106 4.15 0.5643275 4.15 2.183296
4.37 2.904187 4.37 1.250936 4.37 3.432257
5.41 5.015013 5.41 2.039028 5.41 4.99678
4.47 3.46669 4.47 1.010816 4.47 3.385789
4.29 2.055722 4.29 0.6084468 4.29 3.145621
3.99 1.659787 3.99 0.6439026 3.99 2.94266
3.46 1.151966 3.46 0.4533696 3.46 2.767258
3.15 0.8640924 3.15 0.3834393 3.15 2.614253
3.34 0.8389998 3.34 0.405881 3.34 2.480523
5.04 4.521137 5.04 2.226611 5.04 5.387999
4.34 3.207571 4.34 1.014418 4.34 3.376899
3.83 2.539492 3.83 0.9269015 3.83 3.126007
3.41 1.625494 3.41 0.5913958 3.41 2.91149
2.85 1.083184 2.85 0.4629576 2.85 2.726847
2.85 0.8312347 2.85 0.4110216 2.85 2.567305
2.85 1.752357 2.85 0.9199482 2.85 2.477541
3.13 2.333034 3.13 1.066141 3.13 2.436339
3.37 2.87663 3.37 1.261766 3.37 2.531791
5.51 6.583199 5.51 3.067084 5.51 6.413499
5.29 5.67608 5.29 2.031043 5.29 4.113134
5.04 3.223886 5.04 0.9991233 5.04 3.730729
4.48 3.397494 4.48 1.499675 4.48 3.717312
10 9.536664 10 4.436336 10 10.43306
31.6 15.09909 31.6 5.931196 31.6 16.30372
26.2 12.28235 26.2 3.855472 26.2 13.1209
14.5 6.958627 14.5 2.008724 14.5 10.26552
9.9 3.722154 9.9 1.36771 9.9 8.342857
7.81 3.234338 7.81 1.586167 7.81 6.995201
6.2 2.582733 6.2 1.322129 6.2 6.002231
5.76 1.979683 5.76 1.105397 5.76 5.244518
5.51 3.472036 5.51 1.866794 5.51 4.871621
4.89 2.650232 4.89 1.228579 4.89 4.363649
4.25 2.092403 4.25 1.073309 4.25 3.94983
4.16 2.727679 4.16 1.451316 4.16 3.613031
4.2 3.840483 4.2 1.885175 4.2 3.504064
5.11 6.57189 5.11 3.042243 5.11 4.640405
4.33 4.816957 4.33 1.773669 4.33 3.987009
3.93 2.896021 3.93 1.129277 3.93 3.642008
3.72 1.927035 3.72 0.9427177 3.72 3.353858
3.29 1.528477 3.29 0.8659781 3.29 3.110265
2.91 1.361345 2.91 0.8108015 2.91 2.9019
2.71 1.274092 2.71 0.7614466 2.71 2.721854
2.59 1.80353 2.59 1.037429 2.59 2.56718
2.64 2.738597 2.64 1.44047 2.64 2.43519
2.67 2.046394 2.67 0.8932296 2.67 2.318066
8 11.89775 8 6.2589 8 11.25705
22.1 16.19288 22.1 6.593374 22.1 11.47458
10.1 11.62533 10.1 3.716775 10.1 8.67723
7.22 6.941861 7.22 2.261667 7.22 7.212061
7.91 5.822053 7.91 2.466631 7.91 6.26916
8.11 8.202649 8.11 3.743058 8.11 7.105863
9.62 6.482134 9.62 2.563082 9.62 6.103493
13 12.52244 13 5.559589 13 10.5664
8.25 8.25402 8.25 2.759017 8.25 7.965841
6.31 4.66827 6.31 1.783686 6.31 6.719984
5.14 2.984029 5.14 1.512115 5.14 5.789194
4.16 2.31925 4.16 1.394297 4.16 5.071335
3.7 2.050351 3.7 1.306309 3.7 4.504321
3.46 1.914687 3.46 1.22691 3.46 4.04727
3.22 1.821508 3.22 1.15274 3.22 3.672028
2.84 1.742641 2.84 1.083105 2.84 3.359889
2.56 1.669866 2.56 1.017682 2.56 3.097524
2.24 1.600834 2.24 0.9562117 2.24 2.874611
2.04 1.534837 2.04 0.8984543 2.04 2.68352
1.94 1.471606 1.94 0.8441856 1.94 2.518362
2.04 1.410991 2.04 0.7931949 2.04 2.374538
2.17 1.395881 2.17 0.773325 2.17 2.248653
1.93 1.33986 1.93 0.7198858 1.93 2.137802
1.7 1.281439 1.7 0.6755259 1.7 2.039755
1.53 1.215793 1.53 0.6278484 1.53 1.952739
1.29 1.154946 1.29 0.5859351 1.29 1.875189
1.23 1.111111 1.23 0.5559606 1.23 1.82174
1.3 1.060655 1.3 0.5183919 1.3 1.845748
1.2 1.013549 1.2 0.485868 1.2 1.869553
1.1 0.970315 1.1 0.4562923 1.1 1.892902
1.02 0.998343 1.02 0.48162 1.02 1.915715
0.95 1.337525 0.95 0.7352881 0.95 1.938472
0.85 1.130183 0.85 0.4904368 0.85 1.959162
0.72 0.9439418 0.72 0.3998175 0.72 1.978931
1.14 0.8412163 1.14 0.3641858 1.14 1.997803
1.18 0.7835534 1.18 0.3404178 1.18 2.01571
1.69 0.9354908 1.69 0.4803016 1.69 2.033114
2.26 5.840733 2.26 4.444408 2.26 4.342389
1.26 3.929257 1.26 1.678729 1.26 1.898828
0.95 2.13439 0.95 0.8058575 0.95 1.820718
0.82 1.289553 0.82 0.6111388 0.82 1.821343
1.06 0.9546131 1.06 0.546135 1.06 1.850132
1.18 0.8271734 1.18 0.5118395 1.18 1.877816
1.09 0.7714408 1.09 0.4843954 1.09 1.904236
0.92 0.7282193 0.92 0.4507115 0.92 1.929279
0.81 0.6931771 0.81 0.4222058 0.81 1.952907
0.66 0.6627707 0.66 0.3964658 0.66 1.975156
0.66 0.6348683 0.66 0.372482 0.66 1.996169
0.76 0.6085383 0.76 0.3499782 0.76 2.01599
0.83 0.7652132 0.83 0.4941148 0.83 2.034714
0.82 0.6749055 0.82 0.3642503 0.82 2.051978
0.78 0.5979698 0.78 0.319849 0.78 2.068019
0.61 0.5431799 0.61 0.2894267 0.61 2.082939
0.5 0.5079575 0.5 0.2694143 0.5 2.096856
0.43 0.4824987 0.43 0.2527086 0.43 2.109792
0.54 0.4611937 0.54 0.2373808 0.54 2.121824
1.28 4.171169 1.28 3.755085 1.28 3.34858
1.9 4.864545 1.9 3.265614 1.9 2.592943
1.4 5.535129 1.4 3.672515 1.4 2.979065
1.46 3.228471 1.46 1.545342 1.46 1.849909
1.01 1.6935 1.01 0.8992137 1.01 1.803352
0.96 1.028134 0.96 0.741664 0.96 1.834338
