qoss qsim qoss1 qsim1 qoss2 qsim2
1.49 1.160814 1.49 1.355921 1.49 1.901906
1.43 1.465014 1.43 1.860484 1.43 1.925668
1.28 1.280877 1.28 1.392854 1.28 1.947382
1.1 1.108376 1.1 1.198494 1.1 1.968097
1.01 1.007355 1.01 1.105235 1.01 1.987914
1.26 0.9457997 1.26 1.035251 1.26 2.006684
2.61 0.9004445 2.61 0.9722738 2.61 2.024342
8.94 16.86502 8.94 24.8882 8.94 12.47039
2.88 12.33765 2.88 10.70846 2.88 4.538894
1.9 6.25015 1.9 4.450751 1.9 4.013956
1.97 4.130492 1.97 4.304914 1.97 3.597486
1.89 5.337061 1.89 6.804299 1.89 3.71261
1.47 3.568296 1.47 3.845062 1.47 3.360443
1.65 2.28744 1.65 2.857084 1.65 3.067258
1.51 1.789704 1.51 2.667556 1.51 2.824019
1.29 1.513051 1.29 2.409548 1.29 2.619941
1.15 1.36892 1.15 2.240036 1.15 2.447027
1.12 1.287211 1.12 2.104995 1.12 2.299145
1.19 3.136629 1.19 4.701481 1.19 2.351853
1.14 2.384259 1.14 2.764787 1.14 2.219669
1.02 1.669253 1.02 2.085108 1.02 2.103527
0.95 1.320107 0.95 1.87065 0.95 2.002508
0.88 1.159937 0.88 1.737491 0.88 1.91414
1.38 5.900402 1.38 8.53343 1.38 4.132495
1.56 4.095739 1.56 3.850979 1.56 2.394926
1.07 2.370525 1.07 2.31448 1.07 2.253671
1.82 2.593997 1.82 3.410677 1.82 2.134517
3.25 8.346239 3.25 11.11992 3.25 5.738514
2.14 5.760454 2.14 5.161738 2.14 3.107768
1.76 4.725747 1.76 4.969239 1.76 3.038702
2.69 8.239572 2.69 9.887366 2.69 5.081086
2.34 5.737628 2.34 5.284969 2.34 3.713473
1.64 3.541628 1.64 3.578863 1.64 3.3632
1.46 2.262325 1.46 2.819194 1.46 3.076308
1.43 1.702349 1.43 2.537032 1.43 2.838477
1.4 1.45324 1.4 2.344846 1.4 2.638907
1.14 1.69052 1.14 2.660164 1.14 2.47039
1.2 1.484418 1.2 2.214755 1.2 2.326248
1.42 3.129214 1.42 4.371603 1.42 2.385681
15.5 24.26001 15.5 28.09567 15.5 21.36624
6.99 19.9742 6.99 15.05539 6.99 11.66164
3.79 10.41076 3.79 6.562794 3.79 9.206603
3.03 5.377126 3.03 4.59048 3.03 7.528085
2.53 3.731776 2.53 4.432953 2.53 6.336206
2.19 2.780741 2.19 3.819496 2.19 5.453248
2.03 5.236766 2.03 6.576546 2.03 5.541577
2.44 5.803343 2.44 6.231523 2.44 5.192849
16.9 14.83897 16.9 14.73529 16.9 10.98758
39.7 80.86288 39.7 35.40601 39.7 44.42681
61.8 132.6679 61.8 42.66269 61.8 69.7679
49.2 124.7102 49.2 53.62651 49.2 65.36841
24.1 77.0377 24.1 34.0445 24.1 39.54833
27.2 69.1471 27.2 51.27499 27.2 41.52994
16.6 39.86268 16.6 23.37693 16.6 25.49935
10.5 22.2403 10.5 14.73938 10.5 17.94206
8.35 14.8087 8.35 12.57609 8.35 13.69415
6.64 11.93091 6.64 11.57877 6.64 11.00928
5.49 10.73162 5.49 10.84777 5.49 9.183951
11 10.41283 11 10.63428 11 7.879759
12.9 37.54152 12.9 40.33036 12.9 31.16139
7.26 27.32975 7.26 19.81189 7.26 17.72395
6.16 17.09109 6.16 12.52286 6.16 13.55507
5.83 12.1529 5.83 10.66019 5.83 10.92461
5.64 10.08226 5.64 9.810976 5.64 9.135231
13 43.00873 13 47.21531 13 26.12507
17.1 58.99449 17.1 53.95575 17.1 28.15247
16.7 38.58762 16.7 26.63519 16.7 20.0282
10.9 21.89347 10.9 15.82317 10.9 15.01403
7.82 14.20627 7.82 13.10373 7.82 11.95179
6.82 11.20797 6.82 12.07288 6.82 9.916496
6.17 9.96127 6.17 11.29293 6.17 8.475816
5.76 10.67968 5.76 12.39908 5.76 7.426168
8.05 22.7354 8.05 26.04442 8.05 15.78576
24.6 52.53029 24.6 53.1564 24.6 25.08673
39.8 79.55111 39.8 74.62728 39.8 41.7711
24.9 49.33603 24.9 32.8247 24.9 25.41061
16.8 26.58734 16.8 19.2133 16.8 18.13058
12.5 16.24986 12.5 15.70531 12.5 14.00356
9.73 12.28253 9.73 14.39796 9.73 11.38267
7.8 10.73704 7.8 13.48948 7.8 9.588532
6.2 9.960755 6.2 12.63594 6.2 8.296805
5.46 9.481566 5.46 11.90966 5.46 7.331428
5.24 9.031762 5.24 11.1392 5.24 6.585161
5.23 8.629272 5.23 10.45163 5.23 5.992114
5.46 8.26836 5.46 9.826275 5.46 5.50935
5.21 10.35942 5.21 12.50779 5.21 5.939186
4.69 10.31415 4.69 11.33495 4.69 5.604869
4.03 8.774423 4.03 9.150162 4.03 5.188542
3.88 7.672946 3.88 8.169508 3.88 4.839448
4.2 7.085397 4.2 7.653361 4.2 4.544025
4.61 6.680327 4.61 7.158938 4.61 4.289423
4.47 6.357271 4.47 6.71174 4.47 4.067116
4.02 6.06574 4.02 6.287867 4.02 3.872298
3.59 6.281215 3.59 6.56334 3.59 3.704514
3.44 5.877093 3.44 5.786665 3.44 3.555426
3.2 6.225171 3.2 6.339286 3.2 3.473636
3.86 5.73619 3.86 5.421244 3.86 3.351725
3.83 5.218027 3.83 4.843854 3.83 3.240847
3.7 5.026427 3.7 4.725402 3.7 3.14084
3.16 4.708427 3.16 4.287361 3.16 3.048246
3.08 4.432519 3.08 3.971113 3.08 2.961914
3 4.213577 3 3.719546 3 2.881242
2.92 4.046847 2.92 3.521024 2.92 2.805654
3.17 3.890834 3.17 3.321204 3.17 2.734607
36.1 23.66134 36.1 29.56937 36.1 25.21681
287 224.3725 287 238.3629 287 237.3807
79.3 185.4084 79.3 131.5781 79.3 106.6165
106 146.7213 106 110.0298 106 99.57317
76.9 122.6614 76.9 100.9175 76.9 90.85242
85.4 116.1961 85.4 104.3035 85.4 93.39763
61.1 80.04786 61.1 67.22447 61.1 55.47691
55.5 73.57491 55.5 73.58268 55.5 56.957
39.9 53.17867 39.9 52.83557 39.9 38.247
75.8 90.95575 75.8 102.4702 75.8 81.87886
47.9 61.20913 47.9 55.46356 47.9 40.49968
64.7 88.99712 64.7 97.73004 64.7 77.44336
51.4 64.78451 51.4 60.59888 51.4 44.6756
44.9 47.44242 44.9 49.87472 44.9 34.26357
42.9 51.40314 42.9 59.96733 42.9 37.4237
32.3 37.75832 32.3 42.35527 32.3 26.203
25.8 28.39559 25.8 35.88649 25.8 20.35139
21.3 23.37424 21.3 32.52138 21.3 16.49631
18.3 20.44407 18.3 29.78644 18.3 13.92798
14.9 18.7424 14.9 27.72771 14.9 12.14957
12.6 17.71767 12.6 26.07728 12.6 10.84859
11.8 16.86585 11.8 24.44718 11.8 9.857932
11.7 18.40887 11.7 25.81552 11.7 10.46054
21.9 52.37119 21.9 62.26814 21.9 30.48892
22.4 51.51748 22.4 49.1916 22.4 27.15721
17.6 33.36978 17.6 29.52606 17.6 20.00366
43.5 24.91712 43.5 26.43973 43.5 17.46845
249 175.5604 249 199.1445 249 216.9676
73.5 131.8289 73.5 97.84084 73.5 78.79561
38.4 70.27463 38.4 47.79153 38.4 40.05007
27.9 38.523 27.9 35.07779 27.9 26.58375
21.6 25.82324 21.6 31.20223 21.6 19.98144
18.7 21.1736 18.7 29.17939 18.7 16.13882
38.9 64.69242 38.9 78.67056 38.9 52.32461
43.6 70.32031 43.6 69.21477 43.6 47.88376
32.3 45.19456 32.3 39.49393 32.3 29.84331
26.4 31.12105 26.4 32.91232 26.4 23.38374
28.2 31.73536 28.2 37.56569 28.2 22.93661
55.4 77.59379 55.4 88.44354 55.4 63.11675
35.1 53.87525 35.1 45.45813 35.1 33.79213
24.1 33.02719 24.1 30.96973 24.1 23.6036
21.2 23.14541 21.2 26.85847 21.2 18.25013
17.8 19.23921 17.8 25.03829 17.8 15.13383
14.1 17.4281 14.1 23.38657 14.1 12.95976
12.9 21.35543 12.9 27.52014 12.9 13.77783
171 95.96976 171 109.7243 171 77.82357
121 165.3483 121 162.1732 121 176.6929
162 154.6051 162 128.4225 162 129.1347
173 171.2931 173 154.8453 173 184.8708
118 142.7765 118 119.6931 118 117.4525
76.5 92.25205 76.5 75.18165 76.5 62.04567
66.3 79.11723 66.3 79.12022 66.3 61.19314
48.6 60.03112 48.6 61.78983 48.6 43.3493
51.1 69.01124 51.1 78.00151 51.1 53.60595
50.1 72.24398 50.1 77.73317 50.1 55.17145
39 51.67757 39 53.01032 39 35.40578
27.4 36.10176 27.4 42.20153 27.4 25.04068
23.8 29.17245 23.8 38.79519 23.8 20.02813
21 26.42167 21 36.75002 21 17.0902
18.3 25.99136 18.3 35.65539 18.3 15.51081
15.9 23.66585 15.9 32.0207 15.9 13.52086
15.4 21.90103 15.4 29.74918 15.4 12.0731
15 20.67548 15 27.90449 15 10.98009
14.4 19.76433 14.4 26.28275 14.4 10.12695
29.2 52.53314 29.2 62.61359 29.2 32.65942
29.3 43.75646 29.3 40.69728 29.3 22.69455
21.9 29.7464 21.9 28.18873 21.9 17.71597
18.1 22.13795 18.1 24.25977 18.1 14.62792
15.9 18.70738 15.9 22.34429 15.9 12.54916
14.7 17.08627 14.7 20.91969 14.7 11.06364
13.4 16.17509 13.4 19.71344 13.4 9.957817
12.5 15.43619 12.5 18.50501 12.5 9.108998
12.3 14.78307 12.3 17.39343 12.3 8.432761
10.9 14.14582 10.9 16.31485 10.9 7.881145
8.79 13.5944 8.79 15.38252 8.79 7.42266
8.35 13.01294 8.35 14.41515 8.35 7.034205
8.42 12.53547 8.42 13.63136 8.42 6.700281
8.6 12.01073 8.6 12.77713 8.6 6.409344
7.62 11.59444 7.62 12.11571 7.62 6.156218
7.48 11.2139 7.48 11.48571 7.48 5.933683
7.21 12.13839 7.21 12.56973 7.21 6.398753
10.1 34.7117 10.1 36.74011 10.1 22.61525
9.72 25.51939 9.72 18.7934 9.72 14.12173
10 17.12325 10 13.1345 10 11.79939
10.2 12.51184 10.2 10.89782 10.2 10.18354
10.1 10.45724 10.1 9.955972 10.1 9.003674
9.47 9.544426 9.47 9.357827 9.47 8.108444
8.91 9.002444 8.91 8.7886 8.91 7.407911
8.24 8.545919 8.24 8.206898 8.24 6.843762
7.52 8.622863 7.52 8.29605 7.52 6.413302
34.4 35.27663 34.4 37.89954 34.4 19.91203
59.1 112.1088 59.1 115.6389 59.1 81.18933
32 73.84508 32 47.05542 32 39.20276
21.7 42.43065 21.7 27.7867 21.7 27.70434
17.3 27.06603 17.3 22.4088 17.3 21.25278
16.7 17.54635 16.7 16.90763 16.7 16.30673
14.9 13.13153 14.9 14.84225 14.9 13.26204
13.5 11.33036 13.5 13.8518 13.5 11.22881
12.6 10.43207 12.6 12.95658 12.6 9.787095
12.1 9.84611 12.1 12.13838 12.1 8.718272
12 13.57957 12 16.64796 12 10.23365
11.8 11.9872 11.8 12.88163 11.8 9.045979
13.6 21.23539 13.6 22.90808 13.6 12.29244
11.7 16.10572 11.7 14.0981 11.7 10.511
11.9 11.52858 11.9 10.86389 11.9 9.186581
11.2 9.256229 11.2 9.749273 11.2 8.185486
10.4 8.224823 10.4 9.088834 10.4 7.401542
9.4 7.678823 9.4 8.529904 9.4 6.770261
8.68 7.301523 8.68 8.013396 8.68 6.251936
8.14 6.983774 8.14 7.529212 8.14 5.820266
7.32 6.691572 7.32 7.074412 7.32 5.456818
6.67 6.41478 6.67 6.6471 6.67 5.146765
6.32 6.150273 6.32 6.245599 6.32 4.880091
6.38 5.896886 6.38 5.868351 6.38 4.647134
6.5 5.653992 6.5 5.513889 6.5 4.441372
6.54 5.421116 6.54 5.180838 6.54 4.258372
6.81 5.197835 6.81 4.867904 6.81 4.092447
6.31 4.983751 6.31 4.573871 6.31 3.939835
6.21 4.778484 6.21 4.297599 6.21 3.798921
6.3 4.581672 6.3 4.038014 6.3 3.668843
6.25 4.392966 6.25 3.794109 6.25 3.547607
5.89 4.212033 5.89 3.564936 5.89 3.434187
6.34 6.207957 6.34 6.364636 6.34 3.931077
11.2 21.57488 11.2 25.50309 11.2 22.25282
7.89 16.19727 7.89 12.28037 7.89 12.31011
7.04 9.503774 7.04 6.364104 7.04 10.08393
6.48 6.070363 6.48 4.846156 6.48 8.538413
17.8 30.09582 17.8 27.7198 17.8 19.84472
25.2 64.48198 25.2 61.86622 25.2 33.10023
18.4 40.02288 18.4 24.44824 18.4 21.14128
14.5 20.07209 14.5 12.17607 14.5 15.65059
12 11.00088 12 9.355761 12 12.36432
13.5 19.42572 13.5 21.74437 13.5 15.33771
12 14.86267 12 13.57298 12 12.38202
10.4 9.845833 10.4 9.512634 10.4 10.2571
9.48 7.273923 9.48 8.235344 9.48 8.765533
8.91 12.94792 8.91 15.17735 8.91 10.03494
8.75 10.40565 8.75 10.22881 8.75 8.623896
7.69 7.571118 7.69 7.85235 7.69 7.554216
6.71 6.079139 6.71 7.004436 6.71 6.735137
7.06 5.387732 7.06 6.519965 7.06 6.090555
6.83 5.022435 6.83 6.117342 6.83 5.570647
6.54 4.772778 6.54 5.746681 6.54 5.146928
6.24 4.56415 6.24 5.399425 6.24 4.794422
6.17 4.372913 6.17 5.07327 6.17 4.494499
6.11 4.191955 6.11 4.766831 6.11 4.235969
5.03 5.083266 5.03 5.911341 5.03 4.073844
3.98 4.529773 3.98 4.687429 3.98 3.876639
4.01 4.001047 4.01 4.135302 4.01 3.701887
4.66 3.677323 4.66 3.834597 4.66 3.546171
4.72 4.197531 4.72 4.590531 4.72 3.465995
4.31 3.770407 4.31 3.709774 4.31 3.339901
4.1 3.375189 4.1 3.298626 4.1 3.2264
4.48 3.125734 4.48 3.063977 4.48 3.122687
8.51 6.596008 8.51 7.834407 8.51 4.798444
117 152.4895 117 168.2001 117 124.0425
57.4 131.8093 57.4 96.85541 57.4 71.53015
34.5 79.67891 34.5 50.47579 34.5 43.96873
30.3 39.3401 30.3 26.07556 30.3 26.82017
28.1 20.52454 28.1 19.48263 28.1 18.97112
27.8 13.70751 27.8 17.88418 27.8 14.60113
28.1 11.92206 28.1 17.6024 28.1 11.8803
44 54.68547 44 65.48477 44 36.10856
34.3 38.42289 34.3 32.20415 34.3 21.39422
28.9 26.46026 28.9 25.41549 28.9 18.38269
22.2 17.41461 22.2 19.27175 22.2 14.32449
19.3 12.61126 19.3 16.50787 19.3 11.70287
17.3 10.48838 17.3 15.18564 17.3 9.888899
16 9.515701 16 14.21587 16 8.562825
15.2 9.079204 15.2 13.51126 15.2 7.557881
14.1 8.996579 14.1 13.10512 14.1 6.775736
16.2 14.29317 16.2 19.74944 16.2 9.490477
56.2 88.94277 56.2 98.63174 56.2 71.91586
42.9 64.50648 42.9 46.78161 42.9 36.10864
30.3 36.17774 30.3 26.0513 30.3 23.50183
24.1 20.20799 24.1 18.61857 24.1 17.19001
20.2 13.4949 20.2 16.28042 20.2 13.46623
17 10.93927 17 15.12021 17 11.02649
15 9.858602 15 14.16461 15 9.31079
13.5 9.26639 13.5 13.30101 13.5 8.041623
12.5 9.496134 12.5 13.40798 12.5 7.078345
20.2 15.04309 20.2 20.43761 20.2 9.4746
15.5 17.12937 15.5 20.49556 15.5 10.54565
11.9 12.7577 11.9 13.69895 11.9 8.906815
10.5 9.692196 10.5 11.33462 10.5 7.680253
9.75 8.377617 9.75 10.5965 9.75 6.749377
13 18.54895 13 24.28119 13 16.53808
10.1 14.07375 10.1 13.98808 10.1 11.09786
8.51 9.915075 8.51 10.41044 8.51 9.187142
7.69 7.853189 7.69 9.264625 7.69 7.81739
7.78 10.02953 7.78 12.76667 7.78 7.707944
6.82 8.447265 6.82 9.509976 6.82 6.727229
6.43 7.039147 6.43 8.137169 6.43 5.957309
5.75 6.274343 5.75 7.507672 5.75 5.346588
5.52 5.836545 5.52 7.020971 5.52 4.851608
5.13 5.536535 5.13 6.59068 5.13 4.441499
6.95 5.29033 6.95 6.191614 6.95 4.09731
41.5 64.88271 41.5 62.00332 41.5 67.42262
31 59.76794 31 43.35516 31 36.7465
20.9 32.75155 20.9 18.80653 20.9 23.17609
17.6 16.9909 17.6 11.97849 17.6 16.51533
30.3 45.90173 30.3 50.04856 30.3 35.01216
21.1 31.05417 21.1 23.37301 21.1 21.47449
16 17.62974 16 14.10289 16 15.61528
13.2 11.28908 13.2 11.72104 13.2 12.12298
11.6 9.112358 11.6 11.21453 11.6 9.835179
10.4 7.980439 10.4 10.23626 10.4 8.22958
9.22 7.354792 9.22 9.530663 9.22 7.047193
8.42 6.94952 8.42 8.938751 8.42 6.146053
8.57 6.631217 8.57 8.396339 8.57 5.438768
8.48 6.348708 8.48 7.888839 8.48 4.870878
8.09 6.084609 8.09 7.412292 8.09 4.406355
8.19 5.85318 8.19 6.993941 8.19 4.019773
8.25 5.605495 8.25 6.553715 8.25 3.693983
8.9 5.368182 8.9 6.152339 8.9 3.416556
9.16 13.45421 9.16 18.0421 9.16 9.718505
6.4 10.21659 6.4 9.537851 6.4 5.830346
5.69 7.122244 5.69 6.655092 5.69 5.117099
5 5.964908 5 6.373065 5 4.557101
4.72 5.145582 4.72 5.583357 4.72 4.106447
4.86 6.382119 4.86 7.67597 4.86 3.877739
4.44 5.712915 4.44 6.018487 4.44 3.555543
4.03 4.814241 4.03 4.952206 4.03 3.283084
4.33 4.277531 4.33 4.50349 4.33 3.050318
4.38 3.966601 4.38 4.198273 4.38 2.849592
4.08 3.795068 4.08 3.996908 4.08 2.676418
3.73 3.799964 3.73 4.009492 3.73 2.526601
3.74 3.566514 3.74 3.580764 3.74 2.395216
3.88 7.807105 3.88 10.14538 3.88 4.567994
4.09 6.023579 4.09 5.397359 4.09 3.017341
3.71 6.257127 3.71 6.705765 3.71 2.965076
3.97 8.32471 3.97 9.697348 3.97 3.901285
4.19 5.947858 4.19 5.247152 4.19 3.289144
4.34 7.484734 4.34 8.692359 4.34 3.695656
3.42 5.455826 3.42 5.026517 3.42 3.382602
2.55 3.924564 2.55 3.756772 2.55 3.114283
2.78 3.239151 2.78 3.422823 2.78 2.887473
2.92 2.885413 2.92 3.141617 2.92 2.693963
3.04 5.226234 3.04 6.766416 3.04 2.842324
2.42 4.16325 2.42 4.03505 2.42 2.65743
2.02 3.167074 2.02 3.07109 2.02 2.494758
1.84 2.654979 1.84 2.749267 1.84 2.353437
1.87 2.407281 1.87 2.562131 1.87 2.229846
11.3 14.04087 11.3 19.82208 11.3 11.1925
4.06 10.54153 4.06 9.353259 4.06 5.152636
2.88 6.026468 2.88 4.749298 2.88 4.521012
2.31 3.729222 2.31 3.604861 2.31 4.022821
2.16 3.424588 2.16 4.146423 2.16 3.623933
1.88 2.829717 1.88 3.331035 1.88 3.297063
1.65 2.477819 1.65 3.017606 1.65 3.025584
1.71 2.656329 1.71 3.374235 1.71 2.798553
2.82 5.664501 2.82 7.662707 2.82 3.101679
2.01 4.214183 2.01 4.132329 2.01 2.8669
1.47 2.91236 1.47 2.945085 1.47 2.663369
1.39 2.275494 1.39 2.590461 1.39 2.489812
1.74 3.633459 1.74 4.871191 1.74 2.383351
1.37 2.894772 1.37 3.081803 1.37 2.250609
1.13 2.231381 1.13 2.432374 1.13 2.134694
1.37 2.252905 1.37 2.754429 1.37 2.033855
1.52 1.952643 1.52 2.237642 1.52 1.945222
1.37 1.726832 1.37 1.996081 1.37 1.86684
1.2 1.593061 1.2 1.855484 1.2 1.820141
1.24 1.505416 1.24 1.740319 1.24 1.845682
1.32 2.930608 1.32 3.999368 1.32 2.085256
1.19 2.351975 1.19 2.369716 1.19 1.873066
1.18 1.765394 1.18 1.756549 1.18 1.894501
1.18 1.462058 1.18 1.560566 1.18 1.917478
1.02 1.316288 1.02 1.450425 1.02 1.939743
0.87 1.234282 0.87 1.360365 0.87 1.961032
0.91 1.175142 0.91 1.277853 0.91 1.981329
0.96 1.1244 0.96 1.200623 0.96 2.000832
0.85 1.077457 0.85 1.128097 0.85 2.018937
0.93 1.032914 0.93 1.059957 0.93 2.035791
0.99 0.9903285 0.99 0.9959333 0.99 2.051795
1.23 2.754477 1.23 3.971718 1.23 2.511348
1.37 2.844931 1.37 3.200723 1.37 2.014276
1.45 1.958494 1.45 1.755764 1.45 2.027237
1.22 2.35615 1.22 2.923046 1.22 2.116541
1.18 2.16948 1.18 2.425074 1.18 2.050135
1.05 1.518497 1.05 1.480079 1.05 2.064523
0.94 1.121699 0.94 1.175791 0.94 2.078714
0.89 0.9393821 0.89 1.065664 0.89 2.091972
0.84 1.11302 0.84 1.431315 0.84 2.104644
0.9 1.037994 0.9 1.196676 0.9 2.116276
0.91 1.207304 0.91 1.518066 0.91 2.127351
1.17 4.353297 1.17 6.620417 1.17 3.292888
1.21 3.157234 1.21 3.065804 1.21 1.967236
1.04 1.826004 1.04 1.621992 1.04 1.976254
0.89 1.165075 0.89 1.263026 0.89 1.997306
0.76 0.8989467 0.76 1.144352 0.76 2.016977
0.71 0.7911521 0.71 1.069195 0.71 2.035355
0.68 0.8489969 0.68 1.189749 0.68 2.052631
0.73 0.7720407 0.73 1.005271 0.73 2.068589
0.79 0.7176087 0.79 0.9346225 0.79 2.083431
0.76 0.666188 0.76 0.8564299 0.76 2.097215
0.77 0.627832 0.77 0.7989831 0.77 2.110012
0.79 0.5978031 0.79 0.7496929 0.79 2.121901
0.72 0.5718024 0.72 0.7042543 0.72 2.132929
0.63 0.5478347 0.63 0.6616946 0.63 2.143145
0.75 0.5269598 0.75 0.6248903 0.75 2.152617
0.92 1.86931 0.92 2.953208 0.92 2.41708
10.5 9.722946 10.5 14.66596 10.5 5.738462
3.37 7.331977 3.37 6.983687 3.37 2.23223
1.46 3.760672 1.46 2.939407 1.46 2.109407
1.23 1.909879 1.23 1.953653 1.23 2.002688
1.14 1.18109 1.14 1.699752 1.14 1.910151
1.14 0.9179117 1.14 1.577332 1.14 1.829452
0.85 0.822968 0.85 1.490767 0.85 1.814327
0.96 0.7683088 0.96 1.393534 0.96 1.844442
0.86 0.7292727 0.86 1.307193 0.86 1.873296
0.81 0.786333 0.81 1.365155 0.81 1.900872
0.73 0.7242592 0.73 1.199529 0.73 1.926862
0.69 0.6654321 0.69 1.101278 0.69 1.951315
0.66 0.6245958 0.66 1.029875 0.66 1.974296
0.62 0.594001 0.62 0.9669133 0.62 1.995771
0.66 0.5679822 0.66 0.9084053 0.66 2.015744
0.62 0.5441309 0.62 0.8535222 0.62 2.034341
0.59 0.521592 0.59 0.8019659 0.59 2.051663
0.67 0.5000749 0.67 0.7535252 0.67 2.067834
0.69 0.4794694 0.69 0.7080105 0.69 2.082818
0.68 0.4597192 0.68 0.6652451 0.68 2.096698
0.52 0.4407841 0.52 0.6250628 0.52 2.109543
0.49 0.4226294 0.49 0.5873076 0.49 2.121431
0.57 0.421081 0.57 0.5777082 0.57 2.132443
0.54 0.4710855 0.54 0.6457863 0.54 2.142647
0.54 0.4568837 0.54 0.5855138 0.54 2.152025
0.58 0.5965596 0.58 0.814341 0.58 2.160786
0.58 0.4934687 0.58 0.5678619 0.58 2.168745
0.58 0.5398493 0.58 0.6965751 0.58 2.17617
0.7 2.363246 0.7 3.627319 0.7 2.757586
0.99 3.443284 0.99 4.388463 0.99 2.740774
0.95 2.57265 0.95 2.556655 0.95 2.112628
0.73 1.715041 0.73 1.733996 0.73 2.04228
0.65 1.009664 0.65 1.096018 0.65 2.004673
0.65 0.6516683 0.65 0.8794506 0.65 2.0238
0.78 0.5034143 0.78 0.7980443 0.78 2.042036
0.85 0.442357 0.85 0.7454505 0.85 2.058938
0.91 0.4244848 0.91 0.7193274 0.91 2.074612
0.92 0.5267615 0.92 0.8619326 0.92 2.089205
0.91 1.231406 0.91 1.881831 0.91 2.286002
0.81 0.9586272 0.81 1.11588 0.81 2.084903
1.76 5.006079 1.76 7.25896 1.76 4.00764
1.81 3.304996 1.81 2.912715 1.81 1.848631
1.67 1.685314 1.67 1.446726 1.67 1.857127
1.61 0.9230351 1.61 1.108663 1.61 1.885659
1.12 2.183074 1.12 3.221381 1.12 2.641075
0.83 1.536175 0.83 1.714164 0.83 1.851171
0.82 0.9726471 0.82 1.214519 0.82 1.872531
0.87 0.8907555 0.87 1.332568 0.87 1.957602
0.91 0.9507111 0.91 1.421315 0.91 1.989777
1.27 1.3463 1.27 1.922109 1.27 2.145908
1.4 0.9826786 1.4 1.224701 1.4 1.929571
1.24 0.692155 1.24 0.9695751 1.24 1.951065
1.12 0.547337 1.12 0.8710155 1.12 1.973434
1.4 3.388259 1.4 4.82103 1.4 3.399389
6.27 8.531557 6.27 10.22209 6.27 5.629772
21.2 18.63447 21.2 19.55913 21.2 13.29086
10.6 12.37843 10.6 8.645809 10.6 7.16869
14.3 12.13934 14.3 10.37989 14.3 9.253843
7 7.212076 7 5.401663 7 7.56392
10.7 9.884133 10.7 9.495767 10.7 9.543072
23.1 20.77985 23.1 17.69944 23.1 20.70837
10.2 12.79173 10.2 7.802602 10.2 13.56739
7.14 6.49445 7.14 4.714533 7.14 10.48678
7.92 3.675005 7.92 3.953257 7.92 8.474718
7.6 2.61945 7.6 3.644825 7.6 7.078242
6.8 2.272824 6.8 3.453988 6.8 6.065293
7.5 2.091446 7.5 3.231263 7.5 5.304888
7.27 2.523185 7.27 3.484387 7.27 4.878779
6.75 2.627095 6.75 3.325055 6.75 4.454488
6.27 4.632165 6.27 4.786908 6.27 4.717558
64.4 131.2615 64.4 41.53485 64.4 69.06551
22.1 94.77741 22.1 19.14568 22.1 34.19756
13.6 46.49937 13.6 8.966236 13.6 21.89155
11.1 36.15564 11.1 11.26728 11.1 20.75904
9 22.14256 9 7.757678 9 15.23174
7.39 14.89989 7.39 6.994116 7.39 12.21798
21.8 34.22566 21.8 14.31671 21.8 16.62744
72.1 121.216 72.1 74.28115 72.1 77.52853
60 133.2939 60 92.32761 60 82.45974
38.1 82.85951 38.1 44.81562 38.1 45.48206
36.2 77.91253 36.2 61.85073 36.2 52.3303
26.4 52.17426 26.4 36.07913 26.4 34.26499
17.2 33.45156 17.2 24.8927 17.2 24.31125
14.4 22.1136 14.4 18.82083 14.4 17.95082
11.4 16.71888 11.4 16.36431 11.4 14.22182
9.46 14.38179 9.46 15.12279 9.46 11.82643
8.48 13.289 8.48 14.21247 8.48 10.1731
7.69 13.21548 7.69 14.12135 7.69 9.07603
6.9 12.66451 6.9 13.09692 6.9 8.155832
16.1 38.02615 16.1 41.42533 16.1 17.951
25 52.95923 25 49.42944 25 23.21269
16 34.24596 16 23.81001 16 17.36227
12.9 20.81439 12.9 15.95436 12.9 13.82143
10.4 14.98852 10.4 14.08988 10.4 11.67321
8.91 12.5763 8.91 13.01941 8.91 10.054
7.53 14.9969 7.53 16.10435 7.53 10.27915
7.34 20.07733 7.34 20.68496 7.34 10.73878
26.3 69.80667 26.3 74.94822 26.3 38.67276
47.8 80.54505 47.8 70.14449 47.8 43.94177
63.8 93.44307 63.8 82.71687 63.8 64.12047
42.9 65.93652 42.9 48.92951 42.9 42.43117
26.9 36.9367 26.9 27.32253 26.9 26.85952
20 22.31446 20 21.28154 20 19.51435
16.4 17.22298 16.4 20.22254 16.4 15.56422
62.8 88.07503 62.8 101.1983 62.8 74.06913
35.1 60.22657 35.1 45.04636 35.1 35.02269
24.2 33.8599 24.2 26.609 24.2 23.69417
18.6 21.38425 18.6 22.03043 18.6 17.91246
22 40.63645 22 47.49234 22 27.26337
15.532 29.80039 15.532 27.99417 15.532 19.95722
9.632 21.04288 9.632 21.96813 9.632 15.74511
8.514 33.81575 8.514 38.97328 8.514 21.31938
8.119 27.05954 8.119 26.45695 8.119 17.34075
8.087 19.28351 8.087 19.96009 8.087 14.08618
7.894 15.13691 7.894 17.65052 7.894 11.92721
7.808 13.22882 7.808 16.38749 7.808 10.40629
7.876 12.2327 7.876 15.34 7.876 9.284196
7.599 11.62337 7.599 14.454 7.599 8.426796
